Model,mAP@[.5:.95],AP@0.50,AP@0.75,AP (small),AP (medium),AP (large),AR@100
Fine-tuned,0.7742,0.9889,0.9613,0.1735,0.7754,0.7798,0.8201
Pretrained (COCO),0.0024,0.0119,0.0010,0.0000,0.0029,0.1189,0.0089
